n_nodes_input,n_nodes,real_n_nodes,real_pct_n_nodes,clean_mean,corrupted_mean,circuit_mean,faithfulness_by_mean,faithfulness_per_element
0.0,0,0,0.0,-0.5465982556343079,-2.504908800125122,-2.504908323287964,2.4349412797164405e-07,9.705172487883829e-08
50.0,50,50,0.0728862973760933,-0.5465982556343079,-2.504908800125122,-2.4826769828796387,0.01135254930704832,0.010963263921439648
100.0,100,100,0.1457725947521866,-0.5465982556343079,-2.504908800125122,-2.4581055641174316,0.023899802938103676,0.046483658254146576
200.0,200,200,0.2915451895043732,-0.5465982556343079,-2.504908800125122,-1.3765718936920166,0.5761787295341492,0.5981745719909668
300.0,300,300,0.43731778425655976,-0.5465982556343079,-2.504908800125122,-1.1269055604934692,0.7036693692207336,0.7284424901008606
400.0,400,400,0.5830903790087464,-0.5465982556343079,-2.504908800125122,-1.0671303272247314,0.7341932654380798,0.7592210173606873
500.0,500,500,0.7288629737609329,-0.5465982556343079,-2.504908800125122,-1.0201585292816162,0.7581791281700134,0.7913819551467896
600.0,600,600,0.8746355685131195,-0.5465982556343079,-2.504908800125122,-0.8377872705459595,0.8513059616088867,0.8754652738571167
700.0,700,686,1.0,-0.5465982556343079,-2.504908800125122,-0.5465987920761108,0.9999997019767761,0.9999997019767761
